Tipo de instancia,Familia de instancias,Tamaño de instancia,CPU virtuales,Arquitectura,Núcleos,Núcleos válidos,Subprocesos por núcleo,Memoria (GiB),Almacenamiento (GB),Tipo de almacenamiento,Rendimiento de la red,Tipo de GPU,VRAM por GPU,GPU,Precios de Linux bajo demanda
g5g.xlarge,g5g,xlarge,4,arm64,4,"1,2,3,4",1,8,0,-,Up to 10 Gigabit,T4G,16,1,0.42 USD por hora
g4dn.xlarge,g4dn,xlarge,4,x86_64,2,2,2,16,125,ssd,Up to 25 Gigabit,T4,16,1,0.526 USD por hora
g5g.2xlarge,g5g,2xlarge,8,arm64,8,"1,2,3,4,5,6,7,8",1,16,0,-,Up to 10 Gigabit,T4G,16,1,0.556 USD por hora
g4dn.2xlarge,g4dn,2xlarge,8,x86_64,4,"2,4",2,32,225,ssd,Up to 25 Gigabit,T4,16,1,0.752 USD por hora
g6.xlarge,g6,xlarge,4,x86_64,2,"1,2",2,16,250,ssd,Up to 10 Gigabit,L4,24,1,0.8048 USD por hora
g5g.4xlarge,g5g,4xlarge,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,32,0,-,Up to 10 Gigabit,T4G,16,1,0.828 USD por hora
g6.2xlarge,g6,2xlarge,8,x86_64,4,"1,2,3,4",2,32,450,ssd,Up to 10 Gigabit,L4,24,1,0.9776 USD por hora
g5.xlarge,g5,xlarge,4,x86_64,2,-,2,16,250,ssd,Up to 10 Gigabit,A10G,24,1,1.006 USD por hora
g4dn.4xlarge,g4dn,4xlarge,16,x86_64,8,"2,4,6,8",2,64,225,ssd,Up to 25 Gigabit,T4,16,1,1.204 USD por hora
g5.2xlarge,g5,2xlarge,8,x86_64,4,-,2,32,450,ssd,Up to 10 Gigabit,A10G,24,1,1.212 USD por hora
g6.4xlarge,g6,4xlarge,16,x86_64,8,"1,2,3,4,5,6,7,8",2,64,600,ssd,Up to 25 Gigabit,L4,24,1,1.3232 USD por hora
g5g.8xlarge,g5g,8xlarge,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,64,0,-,12 Gigabit,T4G,16,1,1.372 USD por hora
gr6.4xlarge,gr6,4xlarge,16,x86_64,8,"1,2,3,4,5,6,7,8",2,128,600,ssd,Up to 25 Gigabit,L4,24,1,1.5392 USD por hora
g5.4xlarge,g5,4xlarge,16,x86_64,8,-,2,64,600,ssd,Up to 25 Gigabit,A10G,24,1,1.624 USD por hora
g6e.xlarge,g6e,xlarge,4,x86_64,2,"1,2",2,32,250,ssd,Up to 20 Gigabit,L40S,48,1,1.861 USD por hora
g6.8xlarge,g6,8xlarge,32,x86_64,16,"1,2,4,6,8,10,12,14,16",2,128,900,ssd,25 Gigabit,L4,24,1,2.0144 USD por hora
g4dn.8xlarge,g4dn,8xlarge,32,x86_64,16,"2,4,6,8,10,12,14,16",2,128,900,ssd,50 Gigabit,T4,16,1,2.176 USD por hora
g6e.2xlarge,g6e,2xlarge,8,x86_64,4,"1,2,3,4",2,64,450,ssd,Up to 20 Gigabit,L40S,48,1,2.24208 USD por hora
gr6.8xlarge,gr6,8xlarge,32,x86_64,16,"1,2,4,6,8,10,12,14,16",2,256,900,ssd,25 Gigabit,L4,24,1,2.4464 USD por hora
g5.8xlarge,g5,8xlarge,32,x86_64,16,-,2,128,900,ssd,25 Gigabit,A10G,24,1,2.448 USD por hora
g7.2xlarge,g7,2xlarge,8,x86_64,8,"1,2,3,4,5,6,7,8",1,32,440,ssd,60 Gigabit,RTX PRO 4500,32,1,2.52 USD por hora
g5g.16xlarge,g5g,16xlarge,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,128,0,-,25 Gigabit,T4G,16,2,2.744 USD por hora
g5g.metal,g5g,metal,64,arm64,64,-,1,128,0,-,25 Gigabit,T4G,16,2,2.744 USD por hora
g6e.4xlarge,g6e,4xlarge,16,x86_64,8,"1,2,3,4,5,6,7,8",2,128,600,ssd,20 Gigabit,L40S,48,1,3.00424 USD por hora
g7.4xlarge,g7,4xlarge,16,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,64,875,ssd,60 Gigabit,RTX PRO 4500,32,1,3.04208 USD por hora
g7e.2xlarge,g7e,2xlarge,8,x86_64,4,"1,2,3,4",2,64,1900,ssd,50 Gigabit,RTX PRO 6000,96,1,3.36312 USD por hora
g6.16xlarge,g6,16xlarge,64,x86_64,32,"1,2,3,4,8,12,16,20,24,28,32",2,256,1880,ssd,25 Gigabit,L4,24,1,3.3968 USD por hora
g4dn.12xlarge,g4dn,12xlarge,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,192,900,ssd,50 Gigabit,T4,16,4,3.912 USD por hora
g7e.4xlarge,g7e,4xlarge,16,x86_64,8,"1,2,3,4,5,6,7,8",2,128,1900,ssd,50 Gigabit,RTX PRO 6000,96,1,3.99816 USD por hora
g7.8xlarge,g7,8xlarge,32,x86_64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,128,930,ssd,80 Gigabit,RTX PRO 4500,32,1,4.08624 USD por hora
g5.16xlarge,g5,16xlarge,64,x86_64,32,-,2,256,1900,ssd,25 Gigabit,A10G,24,1,4.096 USD por hora
g4dn.16xlarge,g4dn,16xlarge,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,256,900,ssd,50 Gigabit,T4,16,1,4.352 USD por hora
g6e.8xlarge,g6e,8xlarge,32,x86_64,16,"2,4,6,8,10,12,14,16",2,256,900,ssd,25 Gigabit,L40S,48,1,4.52856 USD por hora
g6.12xlarge,g6,12xlarge,48,x86_64,24,"1,2,3,6,9,12,15,18,21,24",2,192,3760,ssd,40 Gigabit,L4,24,4,4.6016 USD por hora
g7e.8xlarge,g7e,8xlarge,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,256,1900,ssd,100 Gigabit,RTX PRO 6000,96,1,5.26824 USD por hora
g5.12xlarge,g5,12xlarge,48,x86_64,24,-,2,192,3800,ssd,40 Gigabit,A10G,24,4,5.672 USD por hora
g6.24xlarge,g6,24xlarge,96,x86_64,48,"1,2,3,4,5,6,12,18,24,30,36,42,48",2,384,3760,ssd,50 Gigabit,L4,24,4,6.6752 USD por hora
p5.4xlarge,p5,4xlarge,16,x86_64,8,"1,2,3,4,5,6,7,8",2,256,3800,ssd,100 Gigabit,H100,80,1,6.88 USD por hora
g7.12xlarge,g7,12xlarge,48,x86_64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,192,1900,ssd,175 Gigabit,RTX PRO 4500,32,2,7.12832 USD por hora
g6e.16xlarge,g6e,16xlarge,64,x86_64,32,"4,8,12,16,20,24,28,32",2,512,1900,ssd,35 Gigabit,L40S,48,1,7.57719 USD por hora
g4dn.metal,g4dn,metal,96,x86_64,48,-,2,384,1800,ssd,100 Gigabit,T4,16,8,7.824 USD por hora
g5.24xlarge,g5,24xlarge,96,x86_64,48,-,2,384,3800,ssd,50 Gigabit,A10G,24,4,8.144 USD por hora
g7e.12xlarge,g7e,12xlarge,48,x86_64,24,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",2,512,3800,ssd,400 Gigabit,RTX PRO 6000,96,2,8.28608 USD por hora
g6e.12xlarge,g6e,12xlarge,48,x86_64,24,"3,6,9,12,15,18,21,24",2,384,3800,ssd,100 Gigabit,L40S,48,4,10.49264 USD por hora
g6.48xlarge,g6,48xlarge,192,x86_64,96,"4,6,8,10,12,24,36,48,60,72,84,96",2,768,7520,ssd,100 Gigabit,L4,24,8,13.3504 USD por hora
g7.24xlarge,g7,24xlarge,96,x86_64,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96",1,384,3800,ssd,350 Gigabit,RTX PRO 4500,32,4,14.25664 USD por hora
g6e.24xlarge,g6e,24xlarge,96,x86_64,48,"6,12,18,24,30,36,42,48",2,768,3800,ssd,200 Gigabit,L40S,48,4,15.06559 USD por hora
g5.48xlarge,g5,48xlarge,192,x86_64,96,-,2,768,7600,ssd,100 Gigabit,A10G,24,8,16.288 USD por hora
g7e.24xlarge,g7e,24xlarge,96,x86_64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",2,1024,7600,ssd,800 Gigabit,RTX PRO 6000,96,4,16.57216 USD por hora
p4d.24xlarge,p4d,24xlarge,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,1152,8000,ssd,4x 100 Gigabit,A100,40,8,21.957642 USD por hora
